Rozpoczęcie symulacji;Czas symulacji;Liczba wszystkich użytkowników;Liczba obsłużonych użytkowników;Współczynnik obsłużonych użytkowników do wszystkich użytkowników;Liczba ukończonych cykli;Średni czas oczekiwania na obsługę;Średnia przepływność systemu;Średnia przepływność użytkownika;Średnia liczba retransmisji;Średnia liczba retransmitowanych danych na użytkownika
21:00:53;3.75;2000;1885;94.25%;1000;123.84;943580.27;500.57;0.32;125.13
21:01:01;3.48;2000;1912;95.6%;1000;66.78;1042327.3;545.15;0.32;133.62
21:02:16;3.62;2000;1848;92.4%;1000;144.89;978058.01;529.25;0.29;119.5
21:02:22;3.55;2000;1898;94.9%;1000;106.29;999641.41;526.68;0.32;128.89
21:02:31;3.32;2000;1886;94.3%;1000;91.06;1071333.73;568.05;0.32;127.31
21:02:37;3.39;2000;1891;94.55%;1000;92.75;1043767.55;551.97;0.31;133.15
21:02:44;2.63;1500;1497;99.8%;1000;6.37;1085560.46;725.16;0.33;137.09
21:02:50;3.41;2000;1903;95.15%;1000;98.45;1045935.78;549.62;0.29;118.15
21:02:55;3.35;2000;1909;95.45%;1000;101.77;1063015.22;556.84;0.31;126.15
21:03:01;3.39;2000;1924;96.2%;1000;74.01;1055307.08;548.5;0.34;138.57
21:03:06;2.72;1500;1498;99.87%;1000;6.34;1024193.01;683.71;0.36;144.27
21:03:11;3.39;2000;1902;95.1%;1000;85.58;1047720.06;550.85;0.3;119.56
21:03:16;3.38;2000;1922;96.1%;1000;73.08;1073180.47;558.37;0.31;125.16
21:03:21;3.33;2000;1907;95.35%;1000;85.98;1086206.61;569.59;0.32;131.25
21:03:26;3.58;2000;1876;93.8%;1000;109.01;995672.07;530.74;0.32;126.49
21:04:01;3.32;2000;1899;94.95%;1000;87.38;1063375.9;559.97;0.32;129.45
21:04:06;2.68;1500;1497;99.8%;1000;6.43;1060324.63;708.3;0.36;146.0
21:04:16;3.29;2000;1894;94.7%;1000;91.8;1067805.47;563.78;0.31;122.74
21:04:23;3.28;2000;1928;96.4%;1000;62.67;1092933.54;566.87;0.31;126.75
21:04:29;3.39;2000;1931;96.55%;1000;61.36;1065323.01;551.69;0.31;127.08
21:04:34;2.32;1334;1331;99.78%;1000;5.41;1088207.76;817.59;0.32;138.89
21:04:39;3.27;2000;1909;95.45%;1000;79.23;1100030.58;576.23;0.29;121.61
21:04:44;3.28;2000;1921;96.05%;1000;67.25;1096543.9;570.82;0.3;123.02
21:04:59;2.39;1334;1331;99.78%;1000;5.51;1060435.56;796.72;0.32;132.65
21:05:04;3.37;2000;1910;95.5%;1000;85.45;1070781.31;560.62;0.3;118.82
21:52:31;3.6;2000;1892;94.6%;1000;99.83;992256.11;524.45;0.31;125.32
21:52:44;3.38;1500;1498;99.87%;1000;7.97;826652.96;551.84;0.31;125.29
21:53:16;3.5;2000;1932;96.6%;1000;64.67;1037524.86;537.02;0.31;127.83
21:50:12;3.63;2000;1907;95.35%;1000;88.43;993308.54;520.87;0.29;118.15
22:14:29;3.58;2000;1917;95.85%;1000;90.34;1023759.5;534.04;0.31;131.78
22:15:20;2.9;1500;1498;99.87%;1000;6.91;990062.41;660.92;0.32;132.68
